Date,Country,City,Specie,count,min,max,median,variance
2020-01-13,CO,Bogotá,so2,316,0.2,2.8,0.5,1.47
2020-02-25,CO,Bogotá,so2,335,0.1,4.1,0.8,3.25
2020-03-09,CO,Bogotá,so2,308,0.2,5.4,0.6,3.51
2020-03-13,CO,Bogotá,so2,333,0.2,3.7,0.8,3.45
2020-03-27,CO,Bogotá,so2,323,0.2,13.8,0.7,27.21
2020-04-05,CO,Bogotá,so2,272,0.1,2.5,0.6,0.84
2020-01-01,CO,Bogotá,so2,197,0.1,2.5,0.6,2.70
2020-01-10,CO,Bogotá,so2,318,0.1,8.8,0.5,18.84
2020-02-27,CO,Bogotá,so2,322,0.1,3.4,0.6,2.01
2020-03-08,CO,Bogotá,so2,289,0.1,2.6,0.6,1.02
2020-01-09,CO,Bogotá,so2,308,0.1,30.1,0.8,92.39
2020-02-20,CO,Bogotá,so2,191,0.2,10.7,0.8,13.06
2020-02-11,CO,Bogotá,so2,156,0.2,9.0,0.8,23.06
2020-02-22,CO,Bogotá,so2,176,0.1,40.3,1.3,194.69
2020-03-26,CO,Bogotá,so2,332,0.2,6.2,0.8,5.74
2020-01-31,CO,Bogotá,so2,288,0.1,18.0,0.5,26.44
2020-02-07,CO,Bogotá,so2,312,0.2,29.6,1.8,110.42
2020-01-30,CO,Bogotá,so2,282,0.1,15.3,0.7,23.95
2020-03-28,CO,Bogotá,so2,162,0.1,2.7,0.7,0.93
2020-03-31,CO,Bogotá,so2,308,0.1,4.2,0.6,1.58
2020-01-04,CO,Bogotá,so2,331,0.1,17.2,1.1,35.43
2020-01-11,CO,Bogotá,so2,336,0.1,8.1,0.5,5.93
2020-03-15,CO,Bogotá,so2,323,0.2,2.3,0.6,1.15
2020-03-18,CO,Bogotá,so2,327,0.3,12.2,1.0,35.33
2020-04-03,CO,Bogotá,so2,277,0.1,2.0,0.7,0.95
2019-12-30,CO,Bogotá,so2,190,0.3,9.9,0.9,14.30
2020-01-18,CO,Bogotá,so2,302,0.1,5.0,0.4,2.00
2020-02-24,CO,Bogotá,so2,334,0.1,5.3,0.8,4.02
2020-02-28,CO,Bogotá,so2,323,0.1,8.8,0.7,8.63
2020-03-12,CO,Bogotá,so2,335,0.2,7.5,0.7,3.16
2020-03-16,CO,Bogotá,so2,327,0.2,3.2,0.7,1.74
2020-01-28,CO,Bogotá,so2,316,0.2,10.9,0.9,13.80
2020-02-02,CO,Bogotá,so2,295,0.1,4.3,0.5,3.11
